"bmp","year","event","location","matrix","replicate","chemicaltype","count","percentage"
"Otay Mesa",1,1,"effluent","stormwater",1,"PE",3,8.57
"Otay Mesa",1,1,"effluent","stormwater",1,"PS",7,20
"Otay Mesa",1,1,"effluent","stormwater",1,"PVC",7,20
"Otay Mesa",1,1,"effluent","stormwater",1,"olefin",8,22.86
"Otay Mesa",1,1,"effluent","stormwater",1,"other polymer",4,11.43
"Otay Mesa",1,1,"effluent","stormwater",1,"rayon",6,17.14
"Otay Mesa",1,1,"influent","stormwater",1,"PE",20,24.1
"Otay Mesa",1,1,"influent","stormwater",1,"PP",5,6.02
"Otay Mesa",1,1,"influent","stormwater",1,"PS",21,25.3
"Otay Mesa",1,1,"influent","stormwater",1,"PU",4,4.82
"Otay Mesa",1,1,"influent","stormwater",1,"olefin",26,31.33
"Otay Mesa",1,1,"influent","stormwater",1,"other polymer",7,8.43
"Otay Mesa",1,2,"effluent","stormwater",1,"PC",2,5.13
"Otay Mesa",1,2,"effluent","stormwater",1,"PE",8,20.51
"Otay Mesa",1,2,"effluent","stormwater",1,"PP",7,17.95
"Otay Mesa",1,2,"effluent","stormwater",1,"PS",10,25.64
"Otay Mesa",1,2,"effluent","stormwater",1,"PVC",7,17.95
"Otay Mesa",1,2,"effluent","stormwater",1,"other polymer",3,7.69
"Otay Mesa",1,2,"effluent","stormwater",1,"tire wear/rubber",2,5.13
"Otay Mesa",1,2,"influent","stormwater",1,"PE",7,8.97
"Otay Mesa",1,2,"influent","stormwater",1,"PMMA",6,7.69
"Otay Mesa",1,2,"influent","stormwater",1,"PP",5,6.41
"Otay Mesa",1,2,"influent","stormwater",1,"PS",13,16.67
"Otay Mesa",1,2,"influent","stormwater",1,"olefin",36,46.15
"Otay Mesa",1,2,"influent","stormwater",1,"other polymer",11,14.1
"Otay Mesa",1,3,"effluent","stormwater",1,"PE",7,21.88
"Otay Mesa",1,3,"effluent","stormwater",1,"PET",3,9.38
"Otay Mesa",1,3,"effluent","stormwater",1,"PP",5,15.62
"Otay Mesa",1,3,"effluent","stormwater",1,"PS",10,31.25
"Otay Mesa",1,3,"effluent","stormwater",1,"PVC",4,12.5
"Otay Mesa",1,3,"effluent","stormwater",1,"other polymer",3,9.38
"Otay Mesa",1,3,"influent","stormwater",1,"PE",35,43.75
"Otay Mesa",1,3,"influent","stormwater",1,"PET",6,7.5
"Otay Mesa",1,3,"influent","stormwater",1,"PP",10,12.5
"Otay Mesa",1,3,"influent","stormwater",1,"PVC",8,10
"Otay Mesa",1,3,"influent","stormwater",1,"olefin",10,12.5
"Otay Mesa",1,3,"influent","stormwater",1,"other polymer",9,11.25
"Otay Mesa",1,3,"influent","stormwater",1,"tire wear/rubber",2,2.5
"Otay Mesa",1,4,"effluent","stormwater",1,"PET",2,4.88
"Otay Mesa",1,4,"effluent","stormwater",1,"PP",1,2.44
"Otay Mesa",1,4,"effluent","stormwater",1,"PS",3,7.32
"Otay Mesa",1,4,"effluent","stormwater",1,"PVC",6,14.63
"Otay Mesa",1,4,"effluent","stormwater",1,"olefin",27,65.85
"Otay Mesa",1,4,"effluent","stormwater",1,"other polymer",2,4.88
"Otay Mesa",1,4,"influent","stormwater",1,"PE",4,4.3
"Otay Mesa",1,4,"influent","stormwater",1,"PP",12,12.9
"Otay Mesa",1,4,"influent","stormwater",1,"PS",17,18.28
"Otay Mesa",1,4,"influent","stormwater",1,"PU",4,4.3
"Otay Mesa",1,4,"influent","stormwater",1,"olefin",51,54.84
"Otay Mesa",1,4,"influent","stormwater",1,"other polymer",5,5.38
